sub,run,story_id,dur_run,dur_story,diff
02,43,story_43,320.17999999999995,320.192,0.012000000000057298
02,44,story_44,308.944,308.976,0.031999999999982265
02,45,story_45,301.252,301.264,0.012000000000000455
02,46,story_46,298.35900000000004,298.4,0.04099999999993997
02,47,story_47,288.945,288.976,0.03100000000000591
02,48,story_48,275.728,275.76,0.031999999999982265
02,49,story_49,273.356,273.392,0.036000000000001364
02,4,story_4,319.168,319.184,0.016000000000019554
02,50,story_50,256.218,256.272,0.053999999999973625
02,51,story_51,352.59499999999997,352.608,0.013000000000033651
02,52,story_52,323.071,323.088,0.016999999999995907
02,53,story_53,324.581,324.608,0.026999999999986812
02,54,story_54,308.373,308.4,0.026999999999986812
02,55,story_55,300.651,300.672,0.021000000000015007
02,56,story_56,298.849,298.88,0.03100000000000591
02,57,story_57,289.955,290.0,0.045000000000015916
02,58,story_58,276.929,276.976,0.047000000000025466
02,59,story_49,273.386,273.392,0.005999999999971806
02,5,story_5,307.564,307.584,0.01999999999998181
02,60,story_50,256.319,256.272,0.047000000000025466
02,6,story_6,290.915,290.96,0.04499999999995907
02,7,story_17,279.96999999999997,280.0,0.03000000000002956
02,8,story_49,273.38599999999997,273.392,0.006000000000028649
02,9,story_9,258.719,258.768,0.04899999999997817
03,10,story_10,239.929,240.0,0.07099999999999795
03,11,story_11,398.348,398.336,0.012000000000000455
03,12,story_12,351.70500000000004,351.712,0.006999999999948159
03,13,story_13,323.72099999999995,323.744,0.0230000000000814
03,14,story_14,318.959,318.992,0.03300000000001546
03,15,story_15,307.693,307.712,0.019000000000005457
03,16,story_16,294.457,294.496,0.03899999999998727
03,17,story_17,279.96999999999997,280.0,0.03000000000002956
03,18,story_18,274.42699999999996,274.48,0.053000000000054115
03,19,story_19,263.601,263.648,0.047000000000025466
03,1,story_1,406.442,406.416,0.02600000000001046
03,20,story_20,240.17000000000002,240.224,0.053999999999973625
03,21,story_21,393.515,393.488,0.026999999999986812
03,22,story_22,345.23199999999997,345.232,5.684341886080802e-14
03,23,story_23,322.58099999999996,322.608,0.027000000000043656
03,24,story_24,315.657,315.68,0.023000000000024556
03,25,story_25,304.862,304.896,0.033999999999991815
03,26,story_26,294.998,295.024,0.02600000000001046
03,27,story_27,284.802,284.848,0.04599999999999227
03,28,story_28,274.898,274.928,0.029999999999972715
03,29,story_29,265.452,265.504,0.05200000000002092
03,2,story_2,352.56600000000003,352.576,0.009999999999990905
03,30,story_30,240.561,240.624,0.06299999999998818
03,31,story_31,379.228,379.232,0.004000000000019099
03,32,story_32,335.817,335.84,0.022999999999967713
03,33,story_33,321.591,321.6,0.009000000000014552
03,34,story_34,310.815,310.832,0.016999999999995907
03,35,story_35,304.783,304.816,0.03299999999995862
03,36,story_36,296.407,296.432,0.025000000000034106
03,37,story_37,288.374,288.416,0.04199999999997317
03,38,story_38,275.598,275.632,0.033999999999991815
03,39,story_39,269.695,269.728,0.03300000000001546
03,3,story_3,319.97999999999996,320.0,0.020000000000038654
03,40,story_40,255.488,255.552,0.06399999999999295
03,41,story_41,367.99300000000005,368.0,0.006999999999948159
03,42,story_42,332.27500000000003,332.304,0.02899999999993952
03,43,story_43,320.18,320.192,0.012000000000000455
03,44,story_44,308.944,308.976,0.031999999999982265
03,45,story_45,301.242,301.264,0.02199999999999136
03,46,story_46,298.35900000000004,298.4,0.04099999999993997
03,47,story_47,288.944,288.976,0.031999999999982265
03,48,story_48,275.728,275.76,0.031999999999982265
03,49,story_49,273.357,273.392,0.03499999999996817
03,4,story_4,319.17,319.184,0.014000000000010004
03,50,story_50,256.219,256.272,0.05299999999999727
03,51,story_51,352.595,352.608,0.012999999999976808
03,52,story_52,323.071,323.088,0.016999999999995907
03,53,story_53,324.58200000000005,324.608,0.025999999999953616
03,54,story_54,308.373,308.4,0.026999999999986812
03,55,story_55,300.65,300.672,0.022000000000048203
03,56,story_56,298.848,298.88,0.031999999999982265
03,57,story_57,289.955,290.0,0.045000000000015916
03,58,story_58,276.928,276.976,0.04800000000000182
03,59,story_49,273.387,273.392,0.0049999999999954525
03,5,story_5,307.56399999999996,307.584,0.020000000000038654
03,60,story_50,256.319,256.272,0.047000000000025466
03,6,story_6,290.91499999999996,290.96,0.045000000000015916
03,7,story_17,279.96999999999997,280.0,0.03000000000002956
03,8,story_49,273.386,273.392,0.005999999999971806
03,9,story_9,258.71000000000004,258.768,0.05799999999993588
04,10,story_10,239.929,240.0,0.07099999999999795
04,11,story_11,398.34700000000004,398.336,0.011000000000024102
04,12,story_12,351.705,351.712,0.007000000000005002
04,13,story_13,323.721,323.744,0.023000000000024556
04,14,story_14,318.959,318.992,0.03300000000001546
04,15,story_15,307.693,307.712,0.019000000000005457
04,16,story_16,294.45599999999996,294.496,0.040000000000020464
04,17,story_17,279.97,280.0,0.029999999999972715
